timestamp,active,online,offline
2026-04-27 12:29:01,214,22,192
2026-04-27 12:30:01,214,22,192
2026-04-27 12:31:02,214,22,192
2026-04-27 12:32:01,214,23,191
2026-04-27 12:33:01,214,23,191
2026-04-27 12:34:01,214,23,191
2026-04-27 12:35:01,214,23,191
2026-04-27 12:36:02,214,23,191
2026-04-27 12:37:01,214,23,191
2026-04-27 12:38:01,214,23,191
2026-04-27 12:39:02,214,23,191
2026-04-27 12:40:01,214,23,191
2026-04-27 12:41:02,214,23,191
2026-04-27 12:42:01,214,23,191
2026-04-27 12:43:02,214,23,191
2026-04-27 12:44:01,214,23,191
2026-04-27 12:45:01,214,23,191
2026-04-27 12:46:02,214,23,191
2026-04-27 12:47:01,214,21,193
2026-04-27 12:48:01,214,21,193
2026-04-27 12:49:02,214,21,193
2026-04-27 12:50:01,214,21,193
2026-04-27 12:51:01,214,21,193
2026-04-27 12:52:01,214,23,191
2026-04-27 12:53:01,214,23,191
2026-04-27 12:54:02,214,23,191
2026-04-27 12:55:01,214,23,191
2026-04-27 12:56:01,214,23,191
2026-04-27 12:57:02,214,23,191
2026-04-27 12:58:01,214,23,191
2026-04-27 12:59:02,214,23,191
2026-04-27 13:00:01,214,23,191
2026-04-27 13:01:01,214,23,191
2026-04-27 13:02:02,214,23,191
2026-04-27 13:03:01,214,23,191
2026-04-27 13:04:01,214,23,191
2026-04-27 13:05:02,214,23,191
2026-04-27 13:06:01,214,23,191
2026-04-27 13:07:02,214,22,192
2026-04-27 13:08:01,214,22,192
2026-04-27 13:09:01,214,23,191
2026-04-27 13:10:02,214,23,191
2026-04-27 13:11:01,214,23,191
2026-04-27 13:12:01,214,24,190
2026-04-27 13:13:01,214,24,190
2026-04-27 13:14:01,214,24,190
2026-04-27 13:15:02,214,24,190
2026-04-27 13:16:01,214,24,190
2026-04-27 13:17:01,214,24,190
2026-04-27 13:18:02,214,24,190
2026-04-27 13:19:01,214,24,190
2026-04-27 13:20:01,214,24,190
2026-04-27 13:21:02,214,24,190
2026-04-27 13:22:01,214,24,190
2026-04-27 13:23:02,214,24,190
2026-04-27 13:24:01,214,24,190
2026-04-27 13:25:01,214,24,190
2026-04-27 13:26:01,214,24,190
